Team One,Team Two,Winner
Kansas,Austin Peay,Kansas
Colorado,Connecticut,Connecticut
Maryland,South Dakota State,Maryland
California,Hawai'i,Hawai'i
Arizona,Wichita State,Wichita State
Miami,Buffalo,Miami
Iowa,Temple,Iowa
Villanova,UNC Asheville,Villanova
Oregon,Holy Cross,Oregon
Saint Joseph's,Cincinnati,Saint Joseph's
Baylor,Yale,Yale
Duke,UNC Wilmington,Duke
Texas,Northern Iowa,Northern Iowa
Texas A&M;,Green Bay,Texas A&M;
Oregon,VCU,VCU
Oklahoma,CSU Bakersfield,Oklahoma
North Carolina,Florida Gulf Coast,North Carolina
USC,Providence,Providence
Indiana,Chattanooga,Indiana
Kentucky,Stony Brook,Kentucky
Notre Dame,Michigan,Notre Dame
West Virginia,Stephen F. Austin,Stephen F. Austin
Wisconsin,Pittsburgh,Wisconsin
Xavier,Weber State,Xavier
Virginia,Hampton,Virginia
Texas Tech,Butler,Butler
Purdue,Little Rock,Little Rock
Iowa State,Iona,Iowa State
Seton Hall,Gonzaga,Gonzaga
Utah,Fresno State,Utah
Dayton,Syracuse,Syracuse
Michigan,Middle Tennessee,Middle Tennessee